W,T,R
1.037,0.0085621,0.9914363
1.038,0.0084679,0.9915295999999999
1.039,0.0082855,0.9917123999999999
1.04,0.0080147,0.9919830000000001
1.041,0.0076668000000000005,0.9923314999999999
1.042,0.0072669,0.9927312
1.043,0.0068561,0.9931418999999999
1.044,0.0064893,0.993509
1.045,0.0062017,0.9937971
1.046,0.0059808,0.9940177
1.047,0.0057922,0.9942059000000001
1.048,0.005653,0.9943449
1.049,0.0055575,0.9944407
1.05,0.005462399999999999,0.9945356
1.051,0.0053887,0.9946091
1.052,0.0053549999999999995,0.9946431
1.053,0.0053706,0.9946273999999999
1.054,0.005437,0.9945607
1.055,0.0055685,0.9944292
1.056,0.0057579,0.9942397
1.057,0.0059542,0.9940437
1.058,0.0060962,0.9939017
1.059,0.0061792999999999996,0.993819
1.06,0.006220799999999999,0.9937769
1.061,0.0062622,0.9937363
1.062,0.0063017,0.9936967
1.063,0.0063393,0.9936593
1.064,0.0064121,0.9935856
1.065,0.006522,0.9934750999999999
1.066,0.0066,0.993398
1.067,0.0066855,0.9933131000000001
1.068,0.0067501,0.9932486
1.069,0.0068274,0.9931712
1.07,0.0069404,0.9930576999999999
1.071,0.0070414,0.9929566
1.072,0.0071381,0.9928598
1.073,0.0072873,0.9927113
1.074,0.0074842,0.9925138
1.075,0.007702400000000001,0.9922958
1.076,0.007936499999999999,0.9920613
1.077,0.008188299999999999,0.9918094000000001
1.078,0.0084368,0.9915611
1.079,0.008650099999999999,0.991348
1.08,0.0088234,0.9911744
1.081,0.008950099999999999,0.9910483000000001
1.082,0.0090352,0.990963
1.083,0.0091061,0.9908920000000001
1.084,0.0092055,0.9907931999999999
1.085,0.0093616,0.9906364999999999
1.086,0.009571,0.9904273
1.087,0.0098107,0.9901867
1.088,0.0100727,0.9899254000000001
1.089,0.010359100000000001,0.9896388
